Photo_2018-11-11T150458.jpg [[144, 37], [520, 29], [138, 456], [546, 446]]
Photo_2018-11-11T135414.jpg [[157, 23], [531, 24], [136, 431], [546, 442]]
Photo_2018-11-11T122950.jpg [[112, 21], [512, 31], [120, 436], [492, 439]]
Photo_2018-11-11T112513.jpg [[139, 58], [490, 48], [134, 442], [507, 440]]
Photo_2018-11-11T102320.jpg [[147, 72], [478, 56], [150, 446], [514, 427]]
Photo_2018-11-10T203321.jpg [[157, 47], [538, 49], [164, 447], [530, 448]]
Photo_2018-11-10T181949.jpg [[140, 44], [498, 42], [124, 438], [510, 443]]
Photo_2018-11-10T172922.jpg [[132, 34], [494, 42], [106, 445], [508, 447]]
Photo_2018-11-10T162648.jpg [[144, 63], [494, 65], [156, 426], [484, 423]]
Photo_2018-11-10T153753.jpg [[170, 44], [534, 45], [153, 443], [546, 455]]
Photo_2018-11-10T134757.jpg [[147, 47], [520, 51], [156, 439], [511, 440]]
Photo_2018-11-10T124448.jpg [[156, 59], [498, 58], [148, 430], [508, 434]]
Photo_2018-11-10T114245.jpg [[152, 55], [500, 47], [145, 425], [506, 431]]
Photo_2018-11-10T105013.jpg [[53, 67], [434, 49], [70, 461], [438, 463]]
Photo_2018-11-10T104019.jpg [[148, 55], [503, 59], [155, 427], [496, 425]]
Photo_2018-11-09T203551.jpg [[122, 27], [513, 20], [106, 461], [539, 461]]
Photo_2018-11-09T194309.jpg [[122, 34], [502, 33], [93, 457], [520, 465]]
Photo_2018-11-09T185419.jpg [[131, 41], [507, 37], [125, 463], [531, 452]]
Photo_2018-11-03T173707.jpg [[92, 25], [506, 23], [84, 456], [500, 473]]
Photo_2018-11-03T173612.jpg [[110, 31], [492, 31], [92, 458], [513, 455]]
Photo_2018-11-03T163850.jpg [[105, 67], [452, 51], [93, 447], [478, 444]]
Photo_2018-11-03T153502.jpg [[190, 16], [568, 47], [160, 441], [560, 451]]
Photo_2018-11-03T153251.jpg [[140, 27], [496, 41], [137, 427], [501, 413]]
Photo_2018-11-03T153209.jpg [[122, 36], [482, 39], [114, 430], [485, 431]]
Photo_2018-11-03T144202.jpg [[112, 26], [497, 33], [103, 441], [495, 444]]
Photo_2018-11-03T143827.jpg [[99, 51], [457, 43], [100, 427], [457, 429]]
Photo_2018-11-03T134148.jpg [[60, 50], [423, 30], [59, 441], [444, 437]]
Photo_2018-11-03T133513.jpg [[180, 55], [532, 47], [170, 433], [545, 439]]
Photo_2018-11-03T124302.jpg [[153, 49], [524, 45], [146, 458], [542, 453]]
Photo_2018-11-03T114356.jpg [[119, 65], [486, 61], [127, 468], [506, 449]]
Photo_2018-11-03T114011.jpg [[158, 39], [518, 39], [144, 434], [534, 436]]
Photo_2018-11-03T113858.jpg [[129, 35], [510, 33], [116, 461], [534, 459]]
Photo_2018-11-03T105249.jpg [[120, 46], [467, 50], [109, 433], [484, 428]]
Photo_2018-11-03T105241.jpg [[98, 53], [465, 45], [83, 459], [486, 459]]
Photo_2018-10-25T174516.jpg [[114, 55], [466, 54], [100, 447], [484, 442]]
Photo_2018-10-25T165123.jpg [[130, 55], [523, 45], [156, 447], [516, 445]]
Photo_2018-10-07T200927.jpg [[130, 36], [508, 33], [126, 453], [527, 445]]
Photo_2018-10-06T174431.jpg [[140, 56], [497, 38], [140, 447], [520, 443]]
Photo_2018-10-06T164748.jpg [[100, 25], [486, 40], [88, 449], [486, 447]]
Photo_2018-10-06T164408.jpg [[102, 32], [485, 31], [94, 459], [506, 453]]
Photo_2018-10-06T155029.jpg [[94, 43], [469, 21], [104, 437], [486, 433]]
Photo_2018-10-06T154900.jpg [[154, 23], [512, 19], [139, 419], [530, 419]]
Photo_2018-10-06T145304.jpg [[132, 23], [546, 19], [150, 451], [536, 449]]
Photo_2018-10-06T135436.jpg [[144, 45], [514, 42], [128, 446], [522, 460]]
Photo_2018-10-06T125221.jpg [[110, 36], [483, 34], [96, 453], [506, 444]]
Photo_2018-10-06T123047.jpg [[126, 27], [496, 20], [124, 437], [522, 426]]
Photo_2018-10-06T113933.jpg [[172, 21], [552, 29], [147, 437], [560, 453]]
Photo_2018-10-06T105411.jpg [[132, 46], [512, 45], [121, 475], [540, 468]]
Photo_2018-09-29T172556.jpg [[194, 47], [560, 52], [182, 444], [560, 448]]
Photo_2018-09-29T172335.jpg [[118, 40], [462, 39], [98, 413], [466, 428]]
